## Combination-1 (သင်ရိုးသရ)

က ကာ ကိ ကီး ကု ကူး ကေး ကဲ့ ကော့ ကော် ကံ့ ကား။
ချွ ချွာ ချွိ ချွီး ချွေး ချွဲ့ ချွံ့ ချွား။

ဂျွ ဂျွာ ဂျွိ ဂျွီး ဂျွေး ဂျွဲ့ ဂျွံ့ ဂျွား။

ပျွ ပျွာ ပျွိ ပျွီး ပျွေး ပျွဲ့ ပျွံ့ ပျွား။

ဖျွ ဖျွာ ဖျွိ ဖျွီး ဖျွေး ဖျွဲ့ ဖျွံ့ ဖျွား။

ဗျွ ဗျွာ ဗျွိ ဗျွီး ဗျွေး ဗျွဲ့ ဗျွံ့ ဗျွား။

မျွ မျွာ မျွိ မျွီး မျွေး မျွဲ့ မျွံ့ မျွား။

လျွ လျွာ လျွိ လျွီး လျွေး လျွဲ့ လျွံ့ လွား။

## Combination-9 (ရရစ်-ဝဆွဲ-သရ)

ကြွ ကြွာ ကြွိ ကြွီး ကြွေး ကြွဲ့ ကြွံ့ ကြွား။

ခြွ ခြွာ ခြွိ ခြွီး ခြွေး ခြွဲ့ ခြွံ့ ခြွား။

ဂြွ ဂြွာ ဂြွိ ဂြွီး ဂြွေး ဂြွဲ့ ဂြွံ့ ဂြွား။

ပြွ ပြွာ ပြွိ ပြွီး ပြွေး ပြွဲ့ ပြွံ့ ပြွား။

ဖြွ ဖြွာ ဖြွိ ဖြွီး ဖြွေး ဖြွဲ့ ဖြွံ့ ဖြွား။

ဗြွ ဗြွာ ဗြွိ ဗြွီး ဗြွေး ဗြွဲ့ ဗြွံ့ ဗြွား။

မြွ မြွာ မြွိ မြွီး မြွေး မြွံ့ မြွံ့ မြွား။

## Combination-10 (ဟထိုး-ဝဆွဲ-သရ)

ငွှ ငွာ ငွှိ ငွှီး ငွှေး ငွှဲ့ ငွှံ့ ငွှား။

ညွှ ညွှာ ညွှိ ညွှီး ညွှေး ညွှဲ့ ညွှံ့ ညွှား။

ဏွှ ဏွှာ ဏွှိ ဏွှီး ဏွှေး ဏွှဲ့ ဏွှံ့ ဏွှား။

နွှ နွှာ နွှိ နွှီး နွှေး နွှဲ့ နွှံ့ နွှား။

မွှ မွှာ မွှိ မွှီး မွှေး မွှဲ့ မွှံ့ မွှား။

ယွှ ယွှာ ယွှိ ယွှီး ယွှေး ယွှဲ့ ယွှံ့ ယွှား။

ရွှ ရွှာ ရွှိ ရွှီး ရွှေး ရွှဲ့ ရွှံ့ ရွှား။

လွှ လွှာ လွှိ လွှီး လွှေး လွှဲ့ လွှံ့ လွှား။

## Combination-11 (ဗျည်း-အသတ်)

ကက် ကင်း ကစ် ကည်း ကတ် ကန်း ကပ် ကမ်း ကယ့် ကောဝ်။

ခက် ခင်း ခစ် ခည်း ခတ် ခန်း ခပ် ခမ်း ခယ့် ခေါဝ်။

ဂက် ဂင်း ဂစ် ဂည်း ဂတ် ဂန်း ဂပ် ဂမ်း ဂယ့် ဂေါဝ်။

ဃက် ဃင်း ဃစ် ဃည်း ဃတ် ဃန်း ဃပ် ဃမ်း ဃယ့် ဃောဝ်။

ငက် ငင်း ငစ် ငည်း ငတ် ငန်း ငပ် ငမ်း ငယ့် ငေါဝ်။

စက် စင်း စစ် စည်း စတ် စန်း စပ် စမ်း စယ့် စေါဝ်။

ဆက် ဆင်း ဆစ် ဆည်း ဆတ် ဆန်း ဆပ် ဆမ်း ဆယ့် ဆောဝ်။

ဇက် ဇင်း ဇစ် ဇည်း ဇတ် ဇန်း ဇပ် ဇမ်း ဇယ့် ဇောဝ်။

ဈက် ဈင်း ဈစ် ဈည်း ဈတ် ဈန်း ဈပ် ဈမ်း ဈယ့် ဈောဝ်။

ညက် ညင်း ညစ် ညည်း ညတ် ညန်း ညပ် ညမ်း ညယ့် ညောဝ်။

ဋက် ဋင်း ဋစ် ဋည်း ဋတ် ဋန်း ဋပ် ဋမ်း ဋယ့် ဋောဝ်။

ဌက် ဌင်း ဌစ် ဌည်း ဌတ် ဌန်း ဌပ် ဌမ်း ဌယ့် ဌောဝ်။

ဍက် ဍင်း ဍစ် ဍည်း ဍတ် ဍန်း ဍပ် ဍမ်း ဍယ့် ဍောဝ်။

ဎက် ဎင်း ဎစ် ဎည်း ဎတ် ဎန်း ဎပ် ဎမ်း ဎယ့် ဎောဝ်။

ဏက် ဏင်း ဏစ် ဏည်း ဏတ် ဏန်း ဏပ် ဏမ်း ဏယ့် ဏောဝ်။

တက် တင်း တစ် တည်း တတ် တန်း တပ် တမ်း တယ့် တောဝ်။

ထက် ထင်း ထစ် ထည်း ထတ် ထန်း ထပ် ထမ်း ထယ့် ထောဝ်။

ဒက် ဒင်း ဒစ် ဒည်း ဒတ် ဒန်း ဒပ် ဒမ်း ဒယ့် ဒေါဝ်။

ဓက် ဓင်း ဓစ် ဓည်း ဓတ် ဓန်း ဓပ် ဓမ်း ဓယ့် ဓောဝ်။

နက် နင်း နစ် နည်း နတ် နန်း နပ် နမ်း နယ့် နောဝ်။

ပက် ပင်း ပစ် ပည်း ပတ် ပန်း ပပ် ပမ်း ပယ့် ပေါဝ်။

ဖက် ဖင်း ဖစ် ဖည်း ဖတ် ဖန်း ဖပ် ဖမ်း ဖယ့် ဖောဝ်။

ဗက် ဗင်း ဗစ် ဗည်း ဗတ် ဗန်း ဗပ် ဗမ်း ဗယ့် ဗောဝ်။

ဘက် ဘင်း ဘစ် ဘည်း ဘတ် ဘန်း ဘပ် ဘမ်း ဘယ့် ဘောဝ်။

မက် မင်း မစ် မည်း မတ် မန်း မပ် မမ်း မယ့် မောဝ်။

ယက် ယင်း ယစ် ယည်း ယတ် ယန်း ယပ် ယမ်း ယယ့် ယောဝ်။

ရက် ရင်း ရစ် ရည်း ရတ် ရန်း ရပ် ရမ်း ရယ့် ရောဝ်။

လက် လင်း လစ် လည်း လတ် လန်း လပ် လမ်း လယ့် လောဝ်။

ဝက် ဝင်း ဝစ် ဝည်း ဝတ် ဝန်း ဝပ် ဝမ်း ဝယ့် ဝေါဝ်။

သက် သင်း သစ် သည်း သတ် သန်း သပ် သမ်း သယ့် သောဝ်။

ဟက် ဟင်း ဟစ် ဟည်း ဟတ် ဟန်း ဟပ် ဟမ်း ဟယ့် ဟောဝ်။

ဠက် ဠင်း ဠစ် ဠည်း ဠတ် ဠန်း ဠပ် ဠမ်း ဠယ့် ဠောဝ်။

အက် အင်း အစ် အည်း အတ် အန်း အပ် အမ်း အယ့် အောဝ်။

## Combination-12 (ဗျည်း-ယပင်း-အသတ်)

ကျက် ကျင်း ကျစ် ကျည်း ကျတ် ကျန်း ကျပ် ကျမ်း ကျယ့် ကျောဝ်။

ချက် ချင်း ချစ် ချည်း ချတ် ချန်း ချပ် ချမ်း ချယ့် ချောဝ်။

ဂျက် ဂျင်း ဂျစ် ဂျည်း ဂျတ် ဂျန်း ဂျပ် ဂျမ်း ဂျယ့် ဂျောဝ်။

ပျက် ပျင်း ပျစ် ပျည်း ပျတ် ပျန်း ပျပ် ပျမ်း ပျယ့် ပျောဝ်။

ဖျက် ဖျင်း ဖျစ် ဖျည်း ဖျတ် ဖျန်း ဖျပ် ဖျမ်း ဖျယ့် ဖျောဝ်။

ဗျက် ဗျင်း ဗျစ် ဗျည်း ဗျတ် ဗျန်း ဗျပ် ဗျမ်း ဗျယ့် ဗျောဝ်။

ဘျက် ဘျင်း ဘျစ် ဘျည်း ဘျတ် ဘျန်း ဘျပ် ဘျမ်း ဘျယ့် ဘျောဝ်။

မျက် မျင်း မျစ် မျည်း မျတ် မျန်း မျပ် မျမ်း မျယ့် မျောဝ်။

လျက် လျင်း လျစ် လျည်း လျတ် လျန်း လျပ် လျမ်း လျယ့် လျောဝ်။

## Combination-13 (ဗျည်း-ရရစ်-အသတ်)

ကြက် ကြင်း ကြစ် ကြည်း ကြတ် ကြန်း ကြပ် ကြမ်း ကြယ့် ကြောဝ်။

ခြက် ခြင်း ခြစ် ခြည်း ခြတ် ခြန်း ခြပ် ခြမ်း ခြယ့် ခြောဝ်။

ဂြက် ဂြင်း ဂြစ် ဂြည်း ဂြတ် ဂြန်း ဂြပ် ဂြမ်း ဂြယ့် ဂြောဝ်။

ငြက် ငြင်း ငြစ် ငြည်း ငြတ် ငြန်း ငြပ် ငြမ်း ငြယ့် ငြောဝ်။

ပြက် ပြင်း ပြစ် ပြည်း ပြတ် ပြန်း ပြပ် ပြမ်း ပြယ့် ပြောဝ်။

ဖြက် ဖြင်း ဖြစ် ဖြည်း ဖြတ် ဖြန်း ဖြပ် ဖြမ်း ဖြယ့် ဖြောဝ်။

ဗြက် ဗြင်း ဗြစ် ဗြည်း ဗြတ် ဗြန်း ဗြပ် ဗြမ်း ဗြယ့် ဗြောဝ်။

မြက် မြင်း မြစ် မြည်း မြတ် မြန်း မြပ် မြမ်း မြယ့် မြောဝ်။

## Combination-14 (ဗျည်း-ဟထိုး-အသတ်)

ငှက် ငှင်း ငှစ် ငှည်း ငှတ် ငှန်း ငှပ် ငှမ်း ငှယ့် ငှေါဝ်။

ညှက် ညှင်း ညှစ် ညှည်း ညှတ် ညှန်း ညှပ် ညှမ်း ညှယ့် ညှောဝ်။

ဏှက် ဏှင်း ဏှစ် ဏှည်း ဏှတ် ဏှန်း ဏှပ် ဏှမ်း ဏှယ့် ဏှောဝ်။

နှက် နှင်း နှစ် နှည်း နှတ် နှန်း နှပ် နှမ်း နှယ့် နှောဝ်။

မှက် မှင်း မှစ် မှည်း မှတ် မှန်း မှပ် မှမ်း မှယ့် မှောဝ်။

ယှက် ယှင်း ယှစ် ယှည်း ယှတ် ယှန်း ယှပ် ယှမ်း ယှယ့် ယှောဝ်။

ရှက် ရှင်း ရှစ် ရှည်း ရှတ် ရှန်း ရှပ် ရှမ်း ရှယ့် ရှောဝ်။

လှက် လှင်း လှစ် လှည်း လှတ် လှန်း လှပ် လှမ်း လှယ့် လှောဝ်။

ဝှက် ဝှင်း ဝှစ် ဝှည်း ဝှတ် ဝှန်း ဝှပ် ဝှမ်း ဝှယ့် ဝှေါဝ်။

ဠှက် ဠှင်း ဠှစ် ဠှည်း ဠှတ် ဠှန်း ဠှပ် ဠှမ်း ဠှယ့် ဠှောဝ်။

## Combination-15 (ဗျည်း-ယပင်း-ဟထိုး-အသတ်)

မျှက် မျှင်း မျှစ် မျှည်း မျှတ် မျှန်း မျှပ် မျှမ်း မျှယ့် မျှောဝ်။

လျှက် လျှင်း လျှစ် လျှည်း လျှတ် လျှန်း လျှပ် လျှမ်း လျှယ့် လျှောဝ်။

## Combination-16 (ဗျည်း-ရရစ်-ဟထိုး-အသတ်)

ငြှက် ငြှင်း ငြှစ် ငြှည်း ငြှတ် ငြှန်း ငြှပ် ငြှမ်း ငြှယ့် ငြောဝ်။

မြှက် မြှင်း မြှစ် မြှည်း မြှတ် မြှန်း မြှပ် မြှမ်း မြှယ့် မြှောဝ်။

## Combination-17 (ဗျည်း-ဝဆွဲ-အသတ်)

ကွက် ကွင်း ကွစ် ကွည်း ကွတ် ကွန်း ကွပ် ကွမ်း ကွယ့်။

ခွက် ခွင်း ခွစ် ခွည်း ခွတ် ခွန်း ခွပ် ခွမ်း ခွယ့်။

ဂွက် ဂွင်း ဂွစ် ဂွည်း ဂွတ် ဂွန်း ဂွပ် ဂွမ်း ဂွယ့်။

ဃွက် ဃွင်း ဃွစ် ဃွည်း ဃွတ် ဃွန်း ဃွပ် ဃွမ်း ဃွယ့်။

ငွက် ငွင်း ငွစ် ငွည်း ငွတ် ငွန်း ငွပ် ငွမ်း ငွယ့်။

စွက် စွင်း စွစ် စွည်း စွတ် စွန်း စွပ် စွမ်း စွယ့်။

ဆွက် ဆွင်း ဆွစ် ဆွည်း ဆွတ် ဆွန်း ဆွပ် ဆွမ်း ဆွယ့်။

ဇွက် ဇွင်း ဇွစ် ဇွည်း ဇွတ် ဇွန်း ဇွပ် ဇွမ်း ဇွယ့်။

ဈွက် ဈွင်း ဈွစ် ဈွည်း ဈွတ် ဈွန်း ဈွပ် ဈွမ်း ဈွယ့်။

ညွက် ညွင်း ညွစ် ညွည်း ညွတ် ညွန်း ညွပ် ညွမ်း ညွယ့်။

ဋွက် ဋွင်း ဋွစ် ဋွည်း ဋွတ် ဋွန်း ဋွပ် ဋွမ်း ဋွယ့်။

ဌွက် ဌွင်း ဌွစ် ဌွည်း ဌွတ် ဌွန်း ဌွပ် ဌွမ်း ဌွယ့်။

ဍွက် ဍွင်း ဍွစ် ဍွည်း ဍွတ် ဍွန်း ဍွပ် ဍွမ်း ဍွယ့်။

ဎွက် ဎွင်း ဎွစ် ဎွည်း ဎွတ် ဎွန်း ဎွပ် ဎွမ်း ဎွယ့်။

ဏွက် ဏွင်း ဏွစ် ဏွည်း ဏွတ် ဏွန်း ဏွပ် ဏွမ်း ဏွယ့်။

တွက် တွင်း တွစ် တွည်း တွတ် တွန်း တွပ် တွမ်း တွယ့်။

ထွက် ထွင်း ထွစ် ထွည်း ထွတ် ထွန်း ထွပ် ထွမ်း ထွယ့်။

ဒွက် ဒွင်း ဒွစ် ဒွည်း ဒွတ် ဒွန်း ဒွပ် ဒွမ်း ဒွယ့်။

ဓွက် ဓွင်း ဓွစ် ဓွည်း ဓွတ် ဓွန်း ဓွပ် ဓွမ်း ဓွယ့်။

နွက် နွင်း နွစ် နွည်း နွတ် နွန်း နွပ် နွမ်း နွယ့်။

ပွက် ပွင်း ပွစ် ပွည်း ပွတ် ပွန်း ပွပ် ပွမ်း ပွယ့်။

